Video,Index,AntennaLx,AntennaLr,AntennaLl,AntennaRx,AntennaRy,AntennaRl,Headx,Heady,Headl,Bodyx,Bodyy,Bodyl,Tailx,Taily,Taill,Sector
2021_1.2,2661,243.86,116.45,1,231.073333333333,202.303333333333,1,183.58,150.7,1,158.006666666667,145.676666666667,1,98.1833333333333,138.826666666667,1,4
2021_1.2,112,239.293333333333,110.513333333333,1,234.27,197.28,1,184.036666666667,148.873333333333,1,160.746666666667,146.133333333333,1,119.19,137.456666666667,0,4
2021_1.2,146,241.576666666667,176.73,1,173.533333333333,235.183333333333,0,172.62,173.533333333333,1,156.18,158.006666666667,1,108.686666666667,121.93,1,4
2021_1.2,98,192.713333333333,56.6266666666667,1,240.663333333333,129.236666666667,1,171.706666666667,122.386666666667,1,152.07,134.716666666667,1,107.316666666667,168.053333333333,1,3
2021_1.2,157,242.033333333333,165.313333333333,1,179.926666666667,238.836666666667,0,173.076666666667,174.903333333333,1,155.723333333333,159.833333333333,1,110.513333333333,120.103333333333,1,4
2021_1.2,384,237.923333333333,175.816666666667,1,171.25,238.836666666667,0,169.88,174.903333333333,1,151.613333333333,156.636666666667,1,114.623333333333,126.04,1,4
2021_1.2,725,33.3366666666667,109.6,1,92.2466666666667,49.7766666666667,1,102.293333333333,110.513333333333,1,118.276666666667,126.496666666667,1,155.723333333333,163.03,0,0
2021_1.2,780,124.213333333333,248.426666666667,0,59.3666666666667,205.5,0,115.536666666667,190.886666666667,1,126.04,168.51,1,159.833333333333,115.993333333333,0,6
2021_1.2,957,206.413333333333,232.9,1,125.583333333333,254.82,0,147.046666666667,193.626666666667,1,142.48,168.51,1,129.236666666667,116.45,0,5
2021_1.2,973,215.09,224.223333333333,1,141.11,248.883333333333,0,153.44,185.863333333333,1,146.59,163.486666666667,1,133.803333333333,114.623333333333,0,5
2021_1.2,1115,235.64,195.91,1,161.203333333333,240.663333333333,0,167.14,182.21,1,153.44,164.4,1,123.3,117.82,0,5
2021_1.2,1215,226.963333333333,209.61,1,160.29,242.033333333333,0,158.92,184.95,1,148.873333333333,160.746666666667,1,120.103333333333,114.166666666667,1,5
2021_1.2,1294,210.066666666667,227.876666666667,1,137.913333333333,242.946666666667,0,152.983333333333,193.17,1,143.85,169.423333333333,1,131.976666666667,115.08,0,5
2021_1.2,1314,211.893333333333,228.79,1,133.346666666667,244.316666666667,0,151.156666666667,192.256666666667,1,144.306666666667,169.423333333333,1,130.15,119.19,0,5
2021_1.2,1389,55.7133333333333,78.09,1,131.063333333333,44.2966666666667,0,118.276666666667,103.206666666667,1,126.953333333333,121.93,1,147.96,178.1,1,1
2021_1.2,1533,38.36,182.21,0,42.47,100.466666666667,1,93.6166666666667,142.023333333333,1,119.646666666667,145.676666666667,1,164.4,152.526666666667,1,0
2021_1.2,1554,47.95,210.523333333333,0,28.77,126.496666666667,1,92.2466666666667,154.81,1,114.166666666667,150.7,1,169.88,139.74,0,7
2021_1.2,1596,46.1233333333333,195.453333333333,0,32.4233333333333,118.276666666667,1,94.9866666666667,151.613333333333,1,118.733333333333,147.96,1,167.596666666667,147.503333333333,1,7
2021_1.2,1706,115.536666666667,243.403333333333,0,45.21,192.256666666667,0,110.97,182.21,1,121.473333333333,163.03,1,154.81,111.426666666667,1,6
2021_1.2,1737,138.826666666667,243.403333333333,0,71.6966666666667,216.916666666667,0,124.213333333333,188.603333333333,1,130.606666666667,165.77,1,152.526666666667,117.82,1,6
2021_1.2,1739,155.723333333333,250.71,0,103.663333333333,246.6,0,131.52,189.516666666667,1,135.63,162.116666666667,1,143.85,105.49,0,6
2021_1.2,1776,172.163333333333,237.923333333333,0,105.033333333333,235.183333333333,0,138.826666666667,190.43,1,139.283333333333,167.596666666667,1,141.566666666667,110.513333333333,0,6
2021_1.2,2020,232.9,192.713333333333,1,164.856666666667,241.12,0,164.4,176.273333333333,1,149.33,158.463333333333,1,120.103333333333,113.71,0,5
2021_1.2,2148,245.23,132.433333333333,1,218.286666666667,219.2,1,176.73,158.006666666667,1,154.353333333333,149.786666666667,1,102.75,135.173333333333,1,4
2021_1.2,2434,192.256666666667,52.06,1,248.426666666667,120.56,1,176.273333333333,118.276666666667,1,159.833333333333,129.693333333333,1,109.6,159.376666666667,1,3
2021_1.2,2510,220.57,75.8066666666667,1,250.253333333333,158.92,1,183.58,132.89,1,163.486666666667,138.826666666667,1,105.49,162.573333333333,0,3
2021_1.2,2537,216.003333333333,77.1766666666667,1,245.686666666667,159.376666666667,1,180.84,135.173333333333,1,158.463333333333,140.196666666667,1,103.206666666667,154.81,1,3
2021_1.2,2538,217.373333333333,76.72,1,245.686666666667,160.746666666667,1,179.47,134.26,1,157.55,139.74,1,103.663333333333,156.18,1,3
2021_1.2,2580,236.553333333333,108.23,1,234.726666666667,193.17,1,180.84,148.873333333333,1,160.29,147.96,1,100.01,142.48,1,4
2021_1.2,2839,243.86,124.67,1,236.553333333333,205.5,1,184.95,154.81,1,163.03,147.503333333333,1,111.426666666667,133.346666666667,0,4
2021_1.2,2873,238.836666666667,110.97,1,241.12,195.453333333333,1,186.32,147.503333333333,1,163.943333333333,147.503333333333,1,110.97,142.023333333333,1,4
2021_1.2,2905,245.686666666667,114.623333333333,1,239.293333333333,196.823333333333,1,186.776666666667,149.33,1,164.856666666667,147.046666666667,1,117.363333333333,137.456666666667,0,4
2021_1.2,2965,233.813333333333,103.206666666667,1,237.923333333333,186.776666666667,1,180.383333333333,147.046666666667,1,156.636666666667,144.306666666667,1,100.01,144.763333333333,1,4
2021_1.2,3113,209.153333333333,66.6733333333333,1,247.513333333333,142.936666666667,1,175.816666666667,131.52,1,156.636666666667,137,1,108.23,158.92,1,3
2021_1.2,3173,211.436666666667,68.9566666666667,1,250.71,141.566666666667,1,179.926666666667,130.15,1,159.376666666667,139.283333333333,1,107.773333333333,154.81,1,3
2021_1.2,3174,213.263333333333,72.1533333333333,1,247.513333333333,147.046666666667,1,178.1,132.433333333333,1,157.55,138.826666666667,1,105.033333333333,158.463333333333,1,3
2021_1.2,3337,32.88,169.423333333333,1,47.95,85.3966666666667,1,95.9,136.086666666667,1,116.45,141.11,1,173.076666666667,157.093333333333,1,0
2021_1.2,3394,68.0433333333333,233.356666666667,0,27.4,159.376666666667,1,95.4433333333333,168.51,1,115.536666666667,159.376666666667,1,164.856666666667,134.26,0,7
2021_1.2,3415,135.173333333333,241.12,0,53.43,201.39,0,117.82,188.146666666667,1,128.78,165.77,1,156.18,123.3,1,6
2021_1.2,3454,47.4933333333333,196.366666666667,0,27.4,128.78,1,89.05,154.81,1,111.883333333333,150.243333333333,1,163.486666666667,140.653333333333,1,7
2021_1.2,3536,31.0533333333333,172.163333333333,1,47.95,85.8533333333333,1,90.42,137.456666666667,1,114.623333333333,138.826666666667,1,172.62,157.55,1,0
2021_1.2,3869,230.16,201.39,1,148.873333333333,246.143333333333,0,160.746666666667,182.21,1,147.046666666667,161.66,1,116.45,116.906666666667,1,5
2021_1.2,3884,225.593333333333,197.736666666667,1,146.133333333333,237.923333333333,0,156.18,179.47,1,143.85,162.573333333333,1,112.34,109.6,1,5
2021_1.2,7497,213.72,218.286666666667,1,142.023333333333,242.49,0,152.526666666667,183.123333333333,1,143.85,163.03,1,118.276666666667,112.34,0,5
2021_1.2,9572,152.983333333333,247.056666666667,0,75.8066666666667,222.396666666667,0,128.323333333333,188.603333333333,1,135.173333333333,165.313333333333,1,146.133333333333,105.033333333333,0,6
2021_1.2,13957,195.453333333333,65.76,1,234.27,145.22,1,165.313333333333,127.866666666667,1,145.676666666667,138.37,1,96.3566666666667,166.226666666667,1,3
2021_1.2,13978,207.783333333333,65.3033333333333,1,240.206666666667,136.543333333333,1,172.62,126.496666666667,1,153.44,132.433333333333,1,103.206666666667,158.006666666667,0,3
2021_1.2,14685,204.13,70.3266666666667,1,235.183333333333,154.81,1,168.966666666667,128.323333333333,1,151.613333333333,136.086666666667,1,91.3333333333333,155.723333333333,0,3
2021_1.2,14706,205.5,73.98,1,232.9,160.29,1,168.51,133.803333333333,1,148.416666666667,138.826666666667,1,90.8766666666667,161.203333333333,1,3
2021_1.3,730,172.5,53.82,1,226.78,110.4,1,162.38,118.22,1,149.5,132.94,1,116.38,168.82,1,2
2021_1.3,1135,53.36,91.54,1,123.28,48.3,0,117.3,113.16,1,127.88,128.34,1,156.4,163.76,1,1
2021_1.3,1440,40.02,117.76,1,78.2,58.42,1,103.96,117.76,1,121.44,126.96,1,165.14,151.34,1,0
2021_1.3,1849,233.68,134.78,1,191.82,207.46,0,169.28,148.12,1,151.8,143.52,1,100.28,132.02,0,4
2021_1.3,2137,204.24,64.4,1,237.82,129.26,1,173.88,122.82,1,156.4,131.1,1,113.16,156.4,1,3
2021_1.3,2186,64.86,198.26,0,43.7,125.58,1,102.12,148.58,1,122.36,140.76,1,175.26,124.2,1,7
2021_1.3,3061,79.58,221.72,0,35.42,151.8,1,103.5,158.24,1,120.52,146.28,1,161.92,120.06,0,7
2021_1.3,3156,172.04,52.44,1,229.08,99.36,1,164.68,115.46,1,153.18,128.8,1,117.3,165.6,0,2
2021_1.3,3289,48.3,100.74,1,102.58,50.6,1,114.54,115.92,1,125.58,125.12,1,166.52,165.6,1,0
2021_1.3,3591,44.62,99.36,1,97.06,52.9,1,109.48,117.76,1,121.9,126.04,1,162.38,156.86,1,0
2021_1.3,3878,64.86,80.5,1,126.96,46.46,0,120.06,106.26,1,131.56,126.96,1,160.08,170.66,1,1
2021_1.3,3998,54.74,87.86,1,123.28,49.68,0,115.46,115.46,1,127.42,129.72,1,157.32,168.82,1,1
2021_1.3,6313,235.06,168.82,1,174.8,220.34,0,169.28,162.38,1,151.34,147.66,1,109.02,122.36,0,4
2021_1.3,6662,44.62,104.88,1,93.84,51.98,1,111.32,116.84,1,126.5,126.96,1,169.28,160.08,1,0
2021_1.3,6946,57.04,201.94,0,39.1,126.04,1,99.36,153.18,1,119.14,145.36,1,180.78,129.72,0,7
2021_1.3,7316,38.18,122.36,1,81.42,62.1,1,105.8,122.36,1,122.36,129.26,1,164.22,158.7,1,0
2021_1.3,8079,127.88,42.78,0,189.52,53.36,1,149.04,106.26,1,146.74,121.9,1,138,171.58,1,2
2021_1.3,8484,181.24,54.28,1,227.24,102.58,1,164.68,114.54,1,150.88,126.5,1,115.46,163.3,1,3
2021_1.3,12279,238.74,154.1,1,188.6,212.98,0,169.28,153.18,1,152.72,146.74,1,103.96,123.28,0,4
2021_1.3,12414,138,47.84,0,208.84,73.14,1,154.1,102.58,1,147.66,122.36,1,127.88,168.36,1,2
2021_1.3,12667,143.98,50.14,0,217.58,82.34,1,160.08,108.1,1,149.96,126.5,1,126.96,167.9,1,2
2021_1.3,12829,150.88,52.44,0,219.42,86.48,1,159.16,113.16,1,149.5,129.26,1,120.98,176.64,1,2
2021_1.3,13996,163.3,231.84,0,95.68,229.08,0,129.26,176.18,1,130.64,155.48,1,134.32,99.82,0,6
2021_1.3,16417,40.48,160.08,0,48.76,88.32,1,101.2,133.4,1,118.68,134.32,1,167.9,137.54,1,0
2021_1.3,16675,51.52,91.08,1,113.62,41.86,0,116.38,110.4,1,130.18,127.42,1,166.06,163.3,1,1
2021_1.3,16842,227.24,182.16,1,177.1,222.64,0,163.3,169.28,1,146.74,151.8,1,107.18,120.06,1,4
2021_1.3,17152,41.86,114.08,1,87.4,58.88,1,106.72,122.36,1,123.74,128.8,1,165.6,154.56,1,0
2021_1.3,17645,135.24,46.46,0,200.56,67.16,1,150.88,104.88,1,142.14,126.5,1,119.14,178.48,0,2
2021_1.3,17786,49.22,184.92,0,40.48,117.3,1,94.3,146.28,1,118.22,139.84,1,167.44,131.1,1,7
2021_1.3,18153,69.46,65.78,1,133.86,46,0,120.06,107.18,1,126.5,125.12,1,148.58,166.06,0,1
2021_1.3,18174,65.32,73.14,1,130.18,47.38,0,121.9,106.72,1,132.48,122.36,1,155.94,162.38,1,1
2021_1.3,18839,211.14,71.76,1,236.44,131.1,1,171.12,125.58,1,154.1,134.32,1,108.1,162.84,1,3
2021_1.3,19346,34.96,152.26,1,51.52,92.92,1,97.52,131.56,1,126.96,133.86,0,177.1,144.44,0,0
2021_1.3,19456,93.84,225.86,0,37.72,171.12,0,109.48,163.3,1,122.36,150.88,1,163.3,114.54,0,7
2021_1.3,19588,180.32,52.44,1,227.24,97.52,1,163.76,115.92,1,151.34,130.64,1,118.22,169.74,1,2
2021_1.3,20305,51.06,97.98,1,104.42,50.14,1,116.84,114.08,1,129.26,126.04,1,165.14,166.52,1,1
2021_1.3,20544,44.16,100.28,1,84.18,57.5,1,108.1,115.46,1,125.12,126.5,1,166.06,160.54,0,0
2021_1.3,20783,58.42,84.18,1,120.98,45.08,0,120.06,107.64,1,131.1,125.58,1,160.08,167.44,1,1
2021_1.3,20838,39.1,120.52,1,73.6,66.24,1,106.26,121.9,1,122.82,129.72,1,166.52,155.02,1,0
2021_1.3,20964,229.08,186.3,1,176.64,224.02,0,163.76,167.44,1,148.12,154.56,1,105.34,117.76,0,4
2021_1.3,20975,232.3,172.04,1,179.4,218.5,0,163.76,165.6,1,148.12,155.02,1,105.34,127.88,1,4
2021_1.3,20979,232.76,169.74,1,176.18,218.5,0,166.52,164.22,1,148.58,152.26,1,106.26,124.66,1,4
2021_1.3,21665,116.38,231.38,0,65.32,206.08,0,116.84,170.66,1,124.2,153.18,1,143.52,93.38,0,6
2021_1.3,22091,209.3,69.46,1,237.36,132.02,1,168.36,126.04,1,151.34,132.48,1,92.46,160.54,0,3
2021_1.3,22164,70.38,67.62,1,127.42,44.62,0,120.06,105.34,1,132.48,126.96,1,150.42,174.34,0,1
2021_1.3,22219,64.86,76.36,1,122.36,51.52,0,120.06,107.18,1,132.02,126.5,1,158.24,169.28,1,1
2021_1.3_h,165,157.92,48.96,0,223.2,84.48,1,165.12,114.72,1,154.08,128.16,1,127.2,167.04,0,2
2021_1.3_h,463,243.36,172.8,0,197.28,227.04,0,177.12,164.64,1,161.76,148.8,1,116.64,110.4,0,4
2021_1.3_h,985,152.16,38.4,0,217.44,73.44,1,160.32,100.8,0,149.76,125.76,1,128.16,171.36,0,2
2021_1.3_h,1896,179.04,45.12,1,237.12,93.6,1,170.4,110.4,1,161.76,123.36,1,130.08,159.36,1,2
2021_1.3_h,2074,244.32,115.68,1,231.36,190.56,0,184.32,144,1,162.24,138.72,1,98.4,127.2,0,4
2021_1.3_h,2711,227.04,87.36,1,249.12,156,1,186.24,136.32,1,165.6,137.28,1,108.96,139.68,0,3
2021_1.3_h,2740,240.96,116.64,1,209.28,181.92,0,180.48,142.08,1,164.64,140.64,1,107.04,133.44,1,4
2021_1.3_h,3212,178.08,46.08,1,235.2,93.6,1,170.88,110.4,1,154.56,124.32,1,114.24,161.76,1,3
2021_1.3_h,3302,205.44,60.48,1,242.4,118.08,1,175.68,118.56,1,160.32,126.24,1,116.64,149.76,1,3
2021_1.3_h,3377,179.04,43.68,1,235.2,85.92,1,169.92,107.52,1,156,121.92,1,122.88,160.8,1,2
2021_1.3_h,3783,58.08,102.24,1,108.96,50.4,1,122.4,114.72,1,133.44,126.24,1,166.08,164.16,1,1
2021_1.3_h,4081,118.56,52.32,1,187.68,52.32,1,152.16,108.96,0,149.28,127.68,1,133.92,175.68,0,2
2021_1.3_h,6493,177.6,49.44,1,232.8,95.04,1,169.44,111.84,0,155.04,124.8,0,120.96,163.68,0,2
2021_1.3_h,6715,230.4,90.72,1,231.36,156.48,0,186.24,133.92,0,160.32,139.2,0,111.84,140.16,0,3
2021_1.3_h,6770,233.76,182.4,0,177.6,224.64,0,173.76,165.6,1,162.24,146.88,1,123.36,107.04,0,5
2021_1.3_h,6869,50.88,153.6,1,70.56,79.68,1,113.28,129.6,1,132.48,138.24,1,180.48,157.44,1,0
2021_1.3_h,7272,207.36,64.8,1,247.2,125.28,1,177.6,122.4,1,159.84,129.6,1,108.48,147.84,0,3
